avg_path_length,avg_stage2_count,count_INVALID_EDGE,count_MISSING_TARGET,count_NO_EOS,count_OVER_SHOOT,count_SUCCESS,num_pairs,rate_INVALID_EDGE,rate_MISSING_TARGET,rate_NO_EOS,rate_OVER_SHOOT,rate_SUCCESS,step
5.153333333333333,1.808888888888889,34,76,4,2,334,450,0.07555555555555556,0.1688888888888889,0.008888888888888889,0.0044444444444444444,0.7422222222222222,2000
5.211111111111111,1.8355555555555556,23,37,0,0,390,450,0.051111111111111114,0.08222222222222222,0,0,0.8666666666666667,4000
5.5377777777777775,2.102222222222222,29,43,0,0,378,450,0.06444444444444444,0.09555555555555556,0,0,0.84,6000
5.817777777777778,2.4266666666666667,28,45,0,0,377,450,0.06222222222222222,0.1,0,0,0.8377777777777777,8000
5.817777777777778,2.311111111111111,28,40,0,0,382,450,0.06222222222222222,0.08888888888888889,0,0,0.8488888888888889,10000
6.075555555555556,2.6444444444444444,25,40,0,0,385,450,0.05555555555555555,0.08888888888888889,0,0,0.8555555555555555,12000
6.093333333333334,2.6955555555555555,23,35,0,0,392,450,0.051111111111111114,0.07777777777777778,0,0,0.8711111111111111,14000
6.237777777777778,2.7266666666666666,27,35,0,0,388,450,0.06,0.07777777777777778,0,0,0.8622222222222222,16000
6.155555555555556,2.6733333333333333,25,34,0,0,391,450,0.05555555555555555,0.07555555555555556,0,0,0.8688888888888889,18000
6.28,2.9044444444444446,20,32,0,0,398,450,0.044444444444444446,0.07111111111111111,0,0,0.8844444444444445,20000
